W5,techn2cian,madrMie,;secnXary,,%,}od,n,cel{l>aV,,vau,,2,-R1,0W,,
~9,adumDci.,m0ahid,secwond)ry,no,,"yea""C",so,:elephone,"K1""",mn,h55,6,-1,0,,Zn\g]~
,managdmnD,s$lngl,eriary,Ano,1iBo,(0(si,yes,XceElulaNr,10,)u,107,9S,IP,<,,$o
v,ret8iCrd,bmxaried,pbrE+marxy, no;,16z>2,,n=,cellular,,,)3,,O^,,,
oKh,,mr^ied,AseucCRndary,Ge,->0R,7es,no,,mf,|}|n,4b,UZ,,Q0,,
?-3,technician,m\rd,&erti0rJ,[cno,,no,nX,cellxlar,W1n1,,14.,3,.^,"""",,o
L42,b&lue-clear,mared,seconda/y,,+81,,R\no|,cel:ulr,18,n2v,,#1,x,ER,,R
5,Xmana~eentw,married,temiay,?Ant,,Y2o(,t~a,chellular,,nohv,!906,"1""",-&,],,/0
8,^unxmplye,mar`ied:,eco<ary,.R,,no,wo,cellular,13,"j5,}K",113,,3b3,l(,otNecKr^,nb
3,sy=lf-employed,marPied,,Q,4v6 ,y,es,,23,rayy,N290,2oT,W,,,no
,mnagment,married,trt1iar,*,Z,yeE,wo,,",",may,F?7K,"""%E",-],j,,Uol
]6,adin.V,married,secondary,Pn,-2}(t94l,yesU,o2,c^elluaf,1k,ay,,[,'-1,0[,,hF/o[!
N[,mamin.,married,,]2o3p,,y#es,,,4GD,,,,z1,>C0,,/nSGQ
z,Bechncian,3Uarried,,nu,,9no,noI,c2ellular,,u,,20,L,,,r
e8l,blue-colar,"mar""rR",&0ec(ndarg,u,213,ys,yA*,,,<[un,2*_W,$,--0,,,R-n51
+,blue-H`o|Ar,singyve,e2m\onday,n(,-20 ,nom,G|es,celljlamir,21,\mD ul,q7n4,c8,-;1,0.+,,
m,housemad,marred,pr#may,no~,gW,ys,Pn0,"telpe9ph,one",y,je,17N2u,1,f*-1,E,,EnGR
,mnaemeSt3,mHrrihd,Ctrtary,_[x,"1,093",'e,|s,Lelluaj,13,D|,1y22,zk-,1q-,eY,,ygDes 
65,Erejtred*,mrlired,EterUiaQ,f,194:O8,AM,no,cellu-lar,2,,1YI,_),J-,,,
Q4,tecnician,mried,c&nday,Doj,]w<,yP\?\es,no,cellular,^s+a8,n~M,l1R,\,h1,0N,,
p38,self-employ>d,divorced,,c&y,644V7,,Hx,celar,,jul,3)6\,M,1rC8E,",~1",^ailuore,Xo
/,maIagmnt,iivorced,tertiary,noe,2813,ye,n],"pcYll,ular",13,ay,4@4=,\2,},W,,JD(
#9,,s{iSgle,,,;2UJ822,,#p,,X7,+),5Z,3>,,0,,no
Q4,une[ploye7C,married_,ecnary~,S,B11o,P,nrg,,126,zFy,Y,5,-1b,k,,n8oh\
~3BF,entrepreKeur,married[L,trt~>y,k,,hs,yrs,cellnqar,,nov,27M,x3,1]7~,k,failure,zn_
,,mEaGVied,xpkimw:y,n,N,yes>,5,zteleZhy,,,"8""*",s,CV3,10,,n
h,mara(emen,marriegd,kerary],S,>48,y>e)s,nF,ellulP,,nov,159,W,h,H0,,unx2o
C,managLmenP,sisgle,traiAry,no,,>)&,Jnc,hmellulr,r,aI(,}26:F,",",,p@,,&Ho
4GI,blue-colla%,marrie,priwr,no,6439,.e,.L~,,M,ma,,r3,-,l,,tc
,ret8ird,dgvDrced,prima^,no,9(Wi,],nZo,,=7,Uj!,20<,Cd,,,,b@nw:+
7PQ,maagemHnt,marriew,primary,no,,me%,n,celuar,@,f>b,P97a,mL1,-Op7,L,,
52,entreipruenevr,MdiXrced,ter(iary,*,,Rs,Us+zx,,19,U,,3,U,,,o
,lue-collar,mU(rDriedt,secKondahy,y_LQo,<,,n,@ellular,,,^;6,",",-1,,,P
53},self-e5mplyed,married,terwhiar,S\no,$S:97d4,?es,y,,12,iubn,vc52,\-<,8-1,$,,Z
2f,sevic,4mgred,|econqedary,n0Pi,8HN4,n-,<kJ,celxluJlar,,7:,1F,1,t,h},,
33,self-employed,,teriry,no,Q,ae$\,noW,cell%lr,,a,,=,,Q,,ysfa
382,admvn.,sin]le,tertiary,6o,8Y8,,bj,ellDular,o,pjC,.34D,+,,h,fai1e,no-
y#,admon,singXle,,c,W3,&ye*I,n,c{lhllar,|8Z,m5y,4E8,u,,y,, FSxes
3,tchni%iAn,mSSred,tertiary,&o,3076G,n|o,\!,celTzlular,26,ma,,d,35,#,e\r,y
33AP,,,,nX4o,c,?,no,,3k,may*,h,,81],J,,
,blue-collaj_,"sS""gle",,,i31O1,\yT>,Z,,:)3,,b0,_,V1,I0'S,,X88o
;r[m,,sinaCeX,,d,4*37,}es,oOs,,,apE,55,E,]U,`,,qnao
G4,anagement,marRed,Se*rXiary,j=o,1764,no,Ki7,,18%,ag,70,@,m,0,,UOo
,unemplowed,ari40d,s+coTdaryF,nh,3W3Zl,-)es,t,,d,auNgC,'25,y2,,,,n?3
40c4,enrep4ren(eu*q,maridedC,secodary,n+,2663,,yenE,ce+ll6lamr,^,F4,9I,J,J,0G,,no
,blue-cpollar,si\ngle,im~p,,-1y6?,ye,iojs,,,$iy,S1yP,,-1,,,P
,St9echcan,ma.rri1qd,,,1393,,ye,telKphSneVwM,iuf,novM,,}5,KO1,/,,#W
SL7,blue-col@ar,mnrrGs%,tertary,Rn%o,s5,yJs,Hrn,,26,$Ku,y19,m3,O-1,D,,(bep
,sFervices#,mCrrieZd,,no1,1KX,Uyes,>9I,cellular,,maJ,-|fg,,-l,0,,n.
q^4,aeYchnican,0iVwe,secondary,C,7u6L,om,noC,ce=vllular,:p,!,"""9h445",=,d1,+@,,Tps
(A5,blue-cEollar~,aiv]rced,priimary,#,a-tO1m,s[,o,,D,mj/y,1030,,n\,,,yes_
3Xg,clue-coMlar,marqiedE,sewcondary,,20u3,yeSs/X,,,,-jun,4@N,M-,&1,=/,,no
 43,jhadmin>,,,n<Y,z1,nVn,o,,s{/,may,84};,,i%,ez,,nZ
2,,Uarid,trtayry,z,6^409,no,n,elular,20,nCvZ,2&3,,*pB,FO,,
,,mare?,tertiary,Q,15e36,"n""",|7~n,el\ulaP,>,ug,,6q3,1F'O2,V,faolure,
38,,,hriimar, c,0%],yes, EX,>celular,G;,,1C1,U,ou-,i,,no
4,,ma3sried,sco~a@+,&bmx,11'1,#n,w[,cQll[ulr,1v,afW,@8',37,J, :0,,B
q,en@rep|eneur,divoced,feconP'+y,n,-69,ykY,J,,<q,may,}@00,K-,H1m,@#,,P 
6&L,sDuQent,m\arrid1,rimcMay,o,462),HXs,no,cellOular,1Xf,jul,i,F,-1,"?""",,=s
9,,mar'ri },]econdary,/~C,eXW,_?,d,,}^,a,,,,e,,#
 50,echici-an,mai`ekd, TrNimar#:,noc,.,*Ln,no,,,mC3&^,1Su,2W,\',09~,,)\Anz
D5,~blua-clar,tsingl,}econdatry,"o,",}0,+e!5\,,celllsr{,"""6",,7sY,(,n1F>,5,success,`o*MB
,services,divorcq%dr,s|nndary,nG,3:,^XuyFs,no,cePqlulArx,o5,&mbyi,301V,$%.,;1,,,D(p@
5N@7,tecnicSia,dvor4cMe~d,teztiajry,npO,g12,nr|%,nw,telephone,'?,=un,"1""6",*,"x-"";",,,"yz""s"
3,,dvorced,secondary,VAo,",-1cG,",ymsP,",D,o",,b[f7,[y,,)g,-W1,y,,7nZ
J+,,,}T^rtiau.y,noP,3/92,{9no,yK(,,1<,u:,1'5,,7-&,Qp,,R_!
P7],,"m,,.d",se|ondary,O,701H9,)e,),,b0,ma,46u5,j,M1,M,,nK>6
4a,management,+ma]rVie,s-vdamy,dnq,aA,yo I,n),,+A21G,#uc,88,1,B,v,sucZwess,nUoC%
5(,unmYLplByedU,dioQed,,n/,23}0,6no,,0cllar,eas,de>=c,22Kj,M,$8/,s),,
x,seNrvic;s,s'nAgole,secTdarZ,,,6,ye,cellulaZ,nu,38l,k,%a, n1 ,"@0I%,",,o
3m!3,magemen,,tecrvuaryz,n,g,yQsf,,cel+ular>,,guGy,z4,!w,D,,,
1,entrepreeSu;,maried,, $o,34/4,nn8Z,o,cyellular,>3),,,,-,I,,:oXp
,blue-colgar,singl,er*ima#y,fTn4,R22,?ky,no,cilluloar,Lb6q,k/,,,u,1V,,eG
<8,,sMrrie0d,se(7;dary,n,7j,"_,",b,,0,|un]1,524,,,,,o
3j9N,maUagemnt,oar@riYedP,secoXin'day,wn,1i072,ye*s,',,C,mcay,1B68h,\M,\.-r,9^p,,MnPo
OO,4aidmgin.,m+arbr0ed,secodar,I@, 2,Bge,",6",,,fFcJ,1y23D,6o(d,99},IW,failQ_,n@
,student,,,no,214=4,Bs,,cellul`r,,nov,bW28c,^,4~,n,,.Co
gI,technicia)n,mri)WeX,tertiary,T!,8:>,~,Kt,cellular,18,au,5o3,4E,7$,|,fa0iluGre(,b
-9i,technicia,singlY,teaary,r,3d90,yes,<o,,:3,,[\,;E0,-y,,,no
,blu^e-t.lar,,pqR ?mary,wno,*5;(,s,Ioxd,,,LmQa,1q1,CH=,1ob,0(@,,
?5:_,WtechniibZ,maY7ri+eo,secondary,?,Dj27,ye+s,no<,cyellku}ar,g,$KL,.$5',mj]\3,-,0H,,Tn`o
}9p,,singl,,no,S7*,ro%,,ellnl}r,3c,ce,R,5e,-v,t,,
1$,managemen$t],di[rced,twrtiar7y,!,2909,cyr,,,,9amay,11N,yd(,-1,0,,}>
57,ma+na7gem[emt,married,secWnd$aWy,`,,yPedfs,U,cel:ular,",",jul,(,,e,0,,jnj
1 ',serJicew,marrie,,lw^,4`o50j,,,,,,"1,^21",4Zf,m,<,,n0Ao1
6y,detiXed,marfiev,tecnd'=ary,o,342`,LTo,,+[lu#ar,,Zeb,432,[,,z,,q
,blue-cosllr,,pimary,oo,3297,Pe-,y`s,Ytelep^ho2e,30,!ap{,P6,u,^,.,,no
M,mDanagament,divorce,t&riaryb,,_4)==,`,%g,cellplar,S,,5},0,1h,0,,y@syk
8]},tirke,marriKd,prF5axry,no,5220 ,n,=,tl@ejMphone,,no2@.,135,MZ,MM,|,thc2&,yes
\,man8gemCt,msrEHed,,ncbo,,byeGs,h8,ce:lular,{YH,aua,425,?,k1,tx0E,,
p,,single,)er^t|y,OR,760(36,@_es,B&noNm,,3D,a,91S,F9,`,0,,
"5""G",ma[nagme9nt\,marPied,,,AR0,5#,J6,,11,jun,W45,+,c,Pt,,cX
1,blue-c>ol0a5r, maqried,pHrGmlhg,,%q00,Ne,Ro,cellulr,,m>,,q,-1R{,#J,,X
,blue-colar,"si,nle",condary,0,,yeT,ys,,,UJy,134,a%^,"v,",* `,,Dn
6,blue-Fco@0lar,xa5ried,s6tondar,B,,*e,oa,,H1g,(C9,q60,$n,DE,,,n~
40,bWucolla,married,sCeconary>,no,[59@,,yC,,RF,may,$XZ,5^,,],,n
,min.,slivngl,seceo7n`ar,n,|7,[l,/yets,cllular,F#.9,l7,#$',r,AI-1,,,n
28,blue-cllar,sngpl,,3,4V,kyes,,cellular,,ygLp,9h=9,m,p92,14,s|ccess,@e(L
A,se$rvces,masr9ew,~pimar|,n<m,,9,,cel/mlar,b;`,a,d0-,\,-+1,S,,
33,XntrBewp0reneur,married,s'cxdr,,0M3b,y~es,"c,d",lAlla,,may,U2|,di,D9{,(,faTlure,n{
4KI,management,ared,secondary,L!,&,no,nAo,ce&lular,12,r*g,7T,_,l1,0,,Xo
 m3 6,%se5f-emplBed1,single,ertiaXy,,-+?M,ys,IyQes,"t^e,one",*h,At,2ZX,1,-\x,,,ysQ
vxK43,blu-colla>r,"mauN""red",@_r^ry,nof,,yes,Vsb,,r},m`y,v3,],R,0a,,n
J8,technician,sle,Otertiary,n,(2;,Uu1,,,RF,,F32,f,-,0C,,ke
53;H,1dmi(.,mariepd,s6_ecoLva7y,no,z2}8,ye,!esR4,c{ellNlar|,,"feR,",[16,3o,r1Z.88,M4,,",n"
L]2x,ser=vi=es,m~ri7ed,secondar&y,Rn,1167,yq,&ye~,telhne,V0,Fxp}r,IX,,n148w7,Vo,falureF,no
26,.ageme,iVge,rtiaory,],Ti43,o,iR,ellular,)f11,n},G#166,t,d,1,succeos,'es>
,blue-coHlar,"""h}a-rriea",TsecoKndar\,vVx,6w,y'6,xQ,cellular,4cyM,,&9,,,u,,d`z
Xx_,manag0ement,married,"second""F^Wy",.,Cq,,nm19,celul0r,63,oc7,L1],,,3T,,/j
,,,Keiar,A ,C,.,eNb_,cltllulat,P,a@,328,y,;\DG,S,,
30,management,"singl""",tertir%,no,1Q35,_O,,cellular,CB,novh,1l4,f,f~oq,>,,}
3X6,maagemRetA,sinF-e,rtiaJry,o,-F9J,ye s,yU,,y,ma,,MR,?,],failure,0X
4u1,entrXpreneur,ma-r#ri6d,terYotiary,,313?5,y8c,yTes,,20L,,160,3,,,,no
1,Qlue-coEllar,dnvor)ed,ecoBaryT,Do,104,{,o,c1elWular,Z,6l,,1l,-1,;,,Oo
h4.,maoagmenx,mar<iBt,,NoD,65^,y`,ng,e0enphohne,B17,no{,W,2,RTX,Z0x7,,i
25,,silugS,s9econd$ry,po,5e,ye,, celll$r,15,,832,`-6,6Q7<,3,"ai""uce",?ys
329,manage6ent,~m=`rri5ed,SnTtiar,n;,~2,noL,no,cellular,,aug,183},x,#@,N,,3
?,management,mar/r/ied,tertiary,nM,U,yes7!,no,,,xmay.-,h?ry,2@,1N-,0*,,wn
47,tehnician,maried,seondry,on_o`,89,o,"""}o",,,jub,2J7,,-1c,0>,,o
,Sousea^d,maribed,tertiary,no,D,,\1,,,jun,10T%,+,-1,O&,,"n,oB"
41,,mar!ieOP,tertiary,)~cN,'d/1\,ae,u',cellu<ar,Z2,jNu(l,u04,jb,<P,Ic,,Jn
#xP\[,tec[nician,"marri,ed",IsecotaryL,,2%80,",",Ho,c%PVlular,{=04,na>~u,1g,>,{1,h,,.C
F$,tec33icin,oingle,tIeBr#iay,no4Z,A,Bvno,n),"e""l(ular",RMP,O+,34&,%,-Ve,p|,,9-
\%`6,XrceE,mrd,sAecondary,o,344o,yOe8,no,t9e3phopne,_,oct,94vz,,,4,aiN,t Aes
W03,tychnicia5n,s]aIrrYed,sy0onay,or,V72F7.,,,,>27,Cs,1205w,,cq,,,yes
3Yt5,thnician,sYinglZ,tertiary,no`,:,"M7n""Po",<nu,cell>lar,q21,4a|ug,u,f+2,,k,,\N
/,reti@e:,"""m/8ied",teZrtiary,no,2812,no,Xo5h,ce}Rllar,_,$aug,Gq19.0,z,=h%%-1,c\,,o
,blueZwcolla]rZ,sTngle,prqfpary,,17K,yes,L_oJ,,13,m3,b5K7`,S,-,0,,no
7,admin.,,se9cnday,;ns,,yeIs,oo,,C,m-yg[,T,,,0,,?C
,,diorceMd,seecndGar8@,no,O4,jKeRs,yes,,^,jUl},p2Z5,"""/",*-1,,,{
,,married,1se2condarZy,"""S",y:1F,So,?(o,,6*,.uN,9c,,-,0,,nz
3,houmsejDaiKd,married,4econdr_y,`djo,633,9,ogn,,IH,,233,JrE6,,0,,no
.k;,blue-collar,ile,second!Py,no,"""-6!-1",BBoqs,"y,",cellular,15,mamy,e8T9,k,-1,\r`,,ye
_6]>;,entrepr}neur,rrLJed,,3ue7s%},-2|8T;,yes/,feX,ceFlluaar,+,aUu,D7,g7,A,},,ao
B3P2,tmchnician,sirgRe,ertty,n,80L47,yes,no,'!lular,g*28,'u>, ,13,",Aje3",97,,
fS,_sices,siP_lB,<secondary,I_,,F.es,n|Ro,cellular,19),nov,146,sW<,Cn=},x0,,n%o
4,selfB-empeoyed,;marri]ed,/)Tond[y,%,,yeKs,,c7ellula,U,"m?y""",612,',-1,e,,
v,,maridl,{ec!ondaary,,1%)*,eo,no:P,,v,jun,"4""",3,-#@1,`,,no
4&S1c/,ptechnician,m1r.i[ed,scndarwA,oS,etx,^n,0o,Sellular,,Mu,10){4,$},,'~,,o|
[;,maxagemet,maurie!d,tertary,3o,173K?,1so,n{,,Fw0,Hz$,B3e,sn,r.,i7,,
5W,ami!n.,.Yarri>d8,tert1iar,n6o,3S2,nto,nh,cel lua0,Eg,,156,5]N5,-W1U,,,ye
,ervies,,secondary,no,,2,!es,,,juul,7a9,15,,DN,,&A
53,adnin.,marHied,"scowdary""",n`,44164I,Ryesn,no,,4I,,Gr,,/Q1,-&,,no
3S,,,tetaav,o,_179_,.yJ,,elw(+lar,my1,ug,F9+^,,-;,`2,,
57b),ueRloyed,maried,scxodry,,+68,yeTs,\,,T,f\R,32W9,g,=,=B:,,n
"4O,",bue-co^=lar,marr[iVed,,Wo,7a,,yno,cellu:ar,"OR,g",i&,r,3,1F,=,MklurI,5
+j,"s'ervi,cLs",s~nR,seWcondary,4o,,oSe,,,0,RQy,1#4,z,zu,>,,n9
,[manageentQ,Jingle,tertiary,,41O,yes>,,_c#lulr,,)alu,v1_0,m,}%1,,,no
3R0x,servies,sinm]2le,"rAim?a,y",,5#46,yc+e,o,,h1,nOPol,(25,,g81,DV,,cno
&9;,technician,marie,secondary,a,"2,5~",yes:),/e,0cllulyr0,o$.,1s,`-;,2M,W,,,no
Fl,a#Ii.F,marsried,secondary,nof,t10a3,;o,[,e^lular,7,~XS,"^,2",2,-1K,,,znOl
5,manageGmnt,qmarr[,ort}iary[,n,,,n|N,ceAlKula,,`|o1v,7p%V,I,L,V,,
"40,?p",blue-collar),jrsied,secondary,^,/7,yl^'eF>,n,,2wA9,/5u,=:,1,a1,X,,kSYo
M ,bue-3Rolla,divorced,pimary,No,,e,,,E-+,10y,4Xp$,c,7-1M,E,,N
,a(dmzn.,married,Fsec2dry,,,yes,3p,cellklar,A1{p,m|b,]3h9,ut3,H/g0,jY,failur,G
p3o4,tehniian,+i0vorcd,hecrndary,Gd,z2705,yes,"j""s",cellular,.,a&,C2B,1&,,M,,n0G
53,maUnaHgement,di)orced,tertiary,%n,\5oP,"!A,?",no$,,$1:[,Oe'b,vl,B,AT,,,yes
,,maried,seco&dary,""";",;_w, J,n_,"q)e""elplular",y&/,~D&Og,Y1k,,g21,,,o%
;6,RbteGchncian,a0ried,tertiary,47,.10Y06,no,no,celuXar,k,aJg:b$,69,,,0X,,no
32,8~use9ma'id,marreQ,,o,1?,Ues,,,i,&n,6bk(;8,,1$,,,
2,gd?ciD.,sngle,,,rs9f&,o,%o,cellular,5#,,EC?8.,.,%,i@,,no
3,admin.,sin}gf,trti(rt,n,p,n,8,,},ma,32`,1,m,W,,
4:,/services,marbie1,tertiary,nA,x`>3,(3y[,ox,Pc7elUlular~r,YU7S,ZapZ,,1,;-,^,,F
,tehnicnan,sinale,terbStiar^,no,p38%ivi,yeMq;,{j,cellulr_,L8t,jyC,,,-1,C,,
1,technician,"5divMor,Vd",,,ifj,yes:,,,13,ao\,13(i,,!2p,",",,no
5)6,vmanag~menL,divoQ }ed,eg`rtiry,=n,=621,y,no,celuoar,,_ug,4w4+2,Y,1e,L0,,n
B420,vanagemet,aQrrPcd,tritiary,,71co,}o,mo,ce;-uClar,20+{,Hu,<\,~,d,Ag,,nH
2,s*lf-eploeZd,single,t/ertry,G,270,yes,n,`ee7lpula,:1WD5,ct,9+,[g,274,11,failure,zno
3,Cn.,l,sboVary,n?/,1:.j0,=es*,V,,j1,jJ>i,U0.,~],-1,,,
38,hue-colar,sinle,tertary,no,1f,p,nm,,17,jMuErn,605,x,r-1,0,,7E:
5r0,rete43d,,Gsecsdar,Bnjo,,rna,no,"tPleph,ne",14_,3uN,4Oz3X,,d,.,,'
l,_e-collar,9mrried,Ngrmahy,YoE,80Q,ys,,cellula5,,k3ayN,R,i5,2=5,R,failure,n'
#61,ecn'imia,d8Horced,secon`ary,,[R6u48/1,Xk,nY,,"""1",s%c,131GB'a,1,o-$,,,yes
,"&servN-ce,",mZr2arri,prarI*,no,0-i.,;yes,xq#M,,w26,IZ,,1C,,0v,,k
"""Ak",blu-coj9ar,marriug,secondary,"""o",2`,,`ZJ,,,m%,34\>,vT,-1W,$,,yo
q6,lue-collar,m1ariel,secVdary,+,bf,yes,o,,},5)aV,d1[r,u,-1\,0e,,no
&4J,se2f-ewmployed,zar*d,,n,252,i0Mo,n~,,I7,jpu,,G-o,WM,=,,no
3,admin.,aw93r{ried,secndary,>Ja,,yeM,n,elllaCr,l14,juO,PK250,W,,~Vb,,
,blyuecolla%r,rNe2,prim ry,|,d1,0+sm,,,,w,1;a,r,l-1,0,,o
40,,sn'le,seccondtarjAa,nq,9b41,g,no,c4:luoar,18,'nv<,,"M,",+1,},,no
^2/0,manvgment,divobrpe-,secodar,no, 71Na,,no,,,myW,~,+9,XmW,L@,,8HnK+
4,,d2vorced,cary,#},,Zqs,},,2%,m1,111,H,-1,I,,no
]*,echnician,@rie1,5>conda*y,m,30P0,ye{Ks;,N,6clluXar,x9em,noTyv,,;,}8,80,,nT
,amin.,divoced,secondary,!,52N,>'8,P-,cluKa,P1,mS,288,,-L1,Y,,uEjo
&,,married,contda0y,+;X,341,no,o,ceLllar,(0,j,42d,2,,,,s
TvD3,t8c9hniNian,Barib2,"t$tia,y",.no\,h,,"""no",cellular,4>,aug,,,2;5`,,,yZs/.
,management,,tertHaGry,X,1a12,ye.3,*o,cemlu|&,jVH,feb,",159","""C",27d1,,faiuev,H
"S""",szrie%,single,`Hconda_qy,F,14X5,cye,9c,cellu#ljr,T1xg,apr,283,3>,-,,,nC'a
1,bluegLcodllar,arprCie,pr5imary,n9,-3Q65,yzZs,,cellularI,_d,Xmay,3]6,K1,gP,z,,/:n0o
,stu/dnt,sLnpl,s#eco{ndary,n?o,17.7GA,no,cKUo,/ellj?a7,11,Caug,2#Q3^3,_,u33,,|succe!=,Qe
.-,blue-<ollar,married,seLconWary,ieCu#,U,Hs,"O""s",ce0llular,1_|,wul}Q,332,li,-,Y,,no
5!d!,rtiqred,divrceyd,o&\hondary,,"""6",nY,n,telep0o+e,},Ktec,"R""1",3$,jRc,,,np
d,seovnces,marribd,secodary,(o,y-,kyis,LF4o,,x,ay,3!#,1S,-j,,,n
|3S,adi.,"Ng""mrried","secon,ary",,3a3h2,N`s,Q1m8,,,D-v,}l2,1i,$u-1,_0,,L(
5,b'&luecollar,mar/ie+d,,n6wGo,X231,yes,~![,cellul%r,,l,272^,Y,,C,,]
F%,,i[volVrceh,s8onday,2jU,W6,,,cel#uqr,,jul,jM5,,-,<,,
D8,sx/ices,singNl,Fosecndar`,,2&21,yeYs,no,"9""lllar",,ay,s6V,1,CSp1,0,,nN
1,husema)d,marr{ied,p4imaxrc,|oRS-,1~38^2,kt,n,,1J[,j8,22/B,rU,-,U0J,,noV
d36,management,7arried,tuertaCay`,7,(m,e,no,cellla,{,jnn,,Q^<1,23:7,17,t8#,$No^
bs&,retir`ted,marrievd,se\onU$arby,0no,,nYo,ywCs,,,:,172,;,aV-,N,,
5,,mried,secoSdaLy,L@Pyes,26V,no@,Gr,te*#l2uar,IM,a*u,1H,,\w,,,xn]K
5o,b4lue-cE<|lar>,mari*,secondar,{,471,,,,,%y,[2W58,=,,|J,,
x,,ingle,t]or(dtiavry,Xo,,',,,Q,"jm5,a",25a7F,1,P,,,no
G,blue-collarQ,mrred,primary,#n,1^x83,noWE,y,, ,XBlyb,1}87,GI,-1,>,,n8C
),anf0Xement,dVvorcd^,e{tbry,n},}8^8J94,yes,,"|ell""Luar",++51,ma,?`\n,uL,-1,0K,,o
s$,tchni5Dan,XWmari)d,secon)da;{y,KH,&~,yC1,t,clula,C,fe,*,,-7XO,,,%
",",,mNrred,t$e}iry,,8B564x,nOo,g,cel9lula.r,L2,,wN9,,342,DW,fZailu4e,b
3,tectiLiMn,sigle,secondary,,,no,n,elular,8,ul,^1,1,-p,0,,#
3x},servies,married,sconXry,,@28,]zs,"h,4","ce""lKlr",A7,apM,3K06,D,V<,hT,,ni
,unemoEd,maRRrri%}e+d,tertiary,l.q,G48,,ono,lflr,1j4,nG\,7E82,"Z,3",EYM],#,,{txo
}0,sel3-emloyed,}-ar}ieUd,<tne@tnar0,+,,Be>,(yo,Kllulr,Z,w*jIl,*6,5%,H-1hQ,c,,no
,ervice%,married,sKecondamy,,sZ18,!,y`qH,cellular,cZS,,Q1,q,4n,,,no
6(,retrdFX,divorced,seconary, o,5jE,no,Zyo.,WLeln5^phone,27,,7C46,B',51(,qL~1/,jrer,ye
@VZ,,marriI,,nfo,48X1,ype1:O,"}n""",,:,may,N33,m,-,k,,o
5,]hnn?gement,marr]el,tetiary,,&2&20_,_,,cell[r,U1,jul,18q,,Z,Q0,,oHH
7K,managTment,9Jrie,tertKay,n,738V,a,n2,clula,I,;%aqug,6~2,?,;,,sc\ess,
8=,Sunemp^ye,arni^|,primarNy,ni,55i7,ti:s,}H,,28,mPay,-3,`,|3/o,{$b0,,
35,qluecolar,single,secondary,"""",O1{v8,es,no,lel_ephCone,,,41,/,,.jz,,o
[3,lue-collar,Pdivorc#d,priSmary,qnI,255,yes,T[,cellar,,2Naeb,"1'{4,",,,,,zzo
5*1,houoseZCid,dvorcd,"eqn)dary,",nzo5J,-T=,JSs,a,(ell<ar,,nt9q`v,n,}&,,,,2:
4=,echnician,mari\ed,s}condary,To,i171,n#o,^oe,eQular,"2""ob",uvg,pT, U5,,F,,n%
(,self3employed,_arred,sueconrC,l|o,,,E,S{cellula+r,m,mayC,H1c,,*C1,,,n@
6R0,r-ti'ea,ma2riW,tertiAary,Sjo,,y,n,,{,jun,,s,-x1,X,,Bo
,toech]ni1cEJan,sinle,sec|J4dary,,U36,sO,n,,268,8G(y,A:347,,0b9,,,i
G,mapagemnt,"l""arrid",FsLecocndxAy,5n.,,Aeji,*$;o,ce-lula,RD,mI'ty,3Z7,2M,,0,,@i
\,blue[gllar,wxred,IeWon8dry,0no_h,6UK6,O,n4,sTel|Hlulr,13,aPpr,217,m7,\,-;,l8aiWluri,os
M45,+enempuoNed,mrQrpid,,Uo,L60y,no,,,Gzz,",",1T64,^,-z,,,<
3u,Wa8m:inK,marrBed,seOlnkday,n>,*,hr,nCo,tlehoSeY,1E2M,x),2>,u&,ENM,DZ,,Qn
I3,tecDhnician,didvJced,t-erUtcarFy,j,65h3,yes,>C,>erlular,H^L,",+",,1rd,n,,,
3,servicBs,ma+riei,seodary,o,&3iO,Lt}e,yes,ZcelEulaWr,1#,oNG,2y>6,Pm,Y,;y?,,cmoe
"x,0",snerNics3,,sBecondary,n,B63,FIf,z,,13,aug,WXq,31&,-1,U?,,zj
4[u,unemplRyed,?bred,,Gn,'64C,n8.,p,eWlc&ar,Jm8,'aA,11W)E,Q,c,,,n<
R,a*m^,,t~rtiy3ary,PtZ,4`t1,8no,,cellular,30,pQc!,1034,-,-DKzJ,0,,y&s
,SmSnageIe>t,m1rGieJd?,gert}Oar,MSo,1j19,yQes,no,celluar,16,pwr,4`B,",y",1>50,We,failure,sMt
F1K,man^gwment,mdarr.ed,tertia@ry,o,4~v^6,,no,llcla,8m,ug,2b7,,q180z,Y,suNccess,3
30,maangem!nt,mri:d,trtiqary,n,18E,+z,,,14,?,,jr,,,,n
Vr31,bl(esjllar,aHCrried,pmpr,Fo,b@BR@9,,fno,celuular,,a>,9Y,y,%,w3(l,oth`,z
cr,tShnicEiian,sW1lye1,,ny,|5C,Te26I,no,cPllular,17,,9w,H1,57,2z OsA,f:aure,l5
,stude?t,singlhe,,,1y#,/2o!,\o,,",4",s`ep,62,~,#H(1,,,no
66,"""adOKGn.",,sconaVry,n,4f041,y1El,-9n,ceolhuar,41,jun,:w9,,-.{,0,,"""Ds"
q,,in@kle,s\ondary,ys,-,,p>eds{,cellular,,ju5,O837,F,,~,,/no^
>3&,blue-c|ollarV,married,!seonKda@,Q4,;0,!,n<,jllu]Ears,R,m(,8^,X,-1,mM},,Po
Y,entrenyeeur,,q~opndary,sU3,27624,nGo,_o,elepo2n,,Yun,Yza,+1,k,>,,Vye<s8
